company,location,url,keywords
Devritech (Deveritec),Dresden,https://deveritec.com,
Racyics,Dresden,https://racyics.com,
Infineon,"Dresden, other",https://www.infineon.com,
Teleconnect,Dresden,https://www.teleconnect.de/,
Vected,"Furth, Bavaria",,
ICS-informatik consulting systems,Stuttgart,,
Signalion,,,
Fraunhofer HHI,Berlin,,
Junger Audio,Berlin,,
SALZBRENNER,Berlin,,
Rohde & Schwarz,"Berlin, Dresden",,
NEOSAT,Dresden,,
eleQtron GmbH,Siegen,,
Arrow Electronics,Berlin,,
TKMS Hagenuk Marinekommunikation GmbH,Flintbek,,
FERCHAU,Stuttgart,,
Kite IT GmbH,Mannheim,,
SIKORA,Bremen,,
High volt,Dresden,,
Last Mile Semiconductor,Dresden,,
Baumer optronic,Dresden,,
Creonic GMBH,Kaiserslautern,,
Chipglobe,"Munich, Dresden, Thessaloniki (Greece)",https://www.chipglobe.com/careers.html,
Meinberg,Bad Pyrmont,,
Ingenics,,,
Ericsson,"Bavaria, Swindon",,
Afry,Swindon,,
Cern,Switzerland,,
HBK,Darmstadt,,
G.I.N,Darmstadt,,
Fujitsu Semiconductor Europe GmbH,"Langen, Hesse",,
Bosch Group ITK,Bavaria,,
chip design dresden GmbH,Dresden,,
Productivity Engineering GmbH,Dresden / Herrenberg,,
KiviCore GmbH,Dresden,,
El Camino GmbH,Mainburg,,
CESYS GmbH,Munich,,
MDD Mikroelektronik Design Dresden GmbH,Dresden,,
Mixed Mode GmbH,Bargteheide,,
Creative Chips GmbH,Germany,,
DD&T Digital Design & Technology GmbH,Germany,,
Basler AG,Ahrensburg,,
SICK AG,Waldkirch,,
Stemmer Imaging,Puchheim,,
IDS Imaging Development Systems GmbH,Obersulm,,
dSPACE GmbH,Paderborn,,
National Instruments Germany,Munich,,
Airbus Defence and Space,Ottobrunn / Friedrichshafen,,
HENSOLDT,Ulm / Taufkirchen,,
Diehl Defence,Überlingen,,
OHB System AG,Bremen,,
Tesat-Spacecom GmbH,Backnang,,
Bosch Engineering GmbH,Germany,,
Continental AG,Germany,,
Valeo Germany,Germany,,
ZF Friedrichshafen AG,Friedrichshafen,,
Fraunhofer IIS,Various,,
Fraunhofer IPMS,Dresden,,
DLR,Germany,,
Helmholtz-Zentrum Dresden-Rossendorf,Dresden,,
FPGA-Company GmbH,"Munich, Bavaria",,
ASIC Design & Consulting GmbH,"Munich, Bavaria",,
Smartlogic GmbH,"Braunschweig, Lower Saxony",,
TEPROSA GmbH,"Magdeburg, Saxony-Anhalt",,
GEMAC GmbH,"Chemnitz, Saxony",,
Dresden Elektronik GmbH,"Dresden, Saxony",,
Cologne Chip AG,"Cologne, NRW",,
Allied Vision Technologies GmbH,"Ahrensburg, Schleswig-Holstein",,
Vision Components GmbH,"Ettlingen, Baden-Württemberg",,
Kontron AG,Augsburg,,
Siemens Digital Industries,Erlangen,,
Siemens Healthineers,Erlangen,,
Fraunhofer FHR,Wachtberg,,
Maschinenfabrik Reinhausen GmbH,Regensburg,,
